Sample	Random	
217	0.15853773064746657	
218	0.024514646463580148	
219	0.5568708130202228	
220	0.29811396353291697	
221	0.0619488583097072	
222	0.8703630688411959	
223	0.21653610703880666	
224	0.8059659349938432	
225	0.9710838102736904	
226	0.11953111218323575	
227	0.298159503821833	
228	0.2923706103616167	
229	0.6117225677536349	
230	0.9996147904405948	
231	0.030344690752641457	
232	0.011124609767451443	
233	0.3199101489838526	
234	0.7751691394615734	
235	0.135165973238894	
236	0.2508599814522612	
237	0.0557691527407308	
238	0.4424820428797873	
239	0.006082732652678446	
240	0.4477974315073411	
241	0.5948501802300684	
242	0.3683496024910099	
243	0.028495033331244035	
244	0.6351396186301866	
245	0.8141406489329021	
246	0.036116155653999726	
247	0.28694916742985044	
248	0.22533229365463392	
249	0.6590529270220993	
250	0.4946574627643262	
251	0.4531120338872964	
252	0.5832755632518093	
253	0.03818423561257123	
254	0.9201206900968495	
255	0.18748741447986883	
256	0.5800627789853339	
257	0.9107232176532076	
258	0.4263655334415042	
259	0.690317102059267	
260	0.546022909727159	
261	0.8112728679472917	
262	0.030054431114870384	
263	0.7929609376547453	
264	0.3378233437155649	
265	0.9320444124661535	
266	0.8073581717379771	
267	0.695279069532003	
268	0.9316971353495656	
269	0.7131715022010314	
270	0.5303383150920824	
271	0.08900698893939973	
272	0.4414008014766686	
273	0.20635580029951262	
274	0.731763505046592	
275	0.2761962061846396	
276	0.6753452150200612	
277	0.4011391529568351	
278	0.8776167823158968	
279	0.5262206225303688	
280	0.798823219877191	
281	0.6399427108354905	
282	0.9776494596714184	
283	0.8959005078238781	
284	0.20466467569812152	
285	0.9201115599847045	
286	0.26269545296669705	
287	0.012193094410677396	
288	0.11955249990344563	
289	0.1995789338705214	
290	0.9851312960392352	
291	0.17070355948584537	
292	0.8632904490603847	
293	0.9530204153744266	
294	0.41764833311324934	
295	0.9505842794916348	
296	0.7568253379938625	
297	0.8979122617065377	
298	0.32763389248045505	
299	0.7950140406640659	
300	0.48142332349066086	
301	0.28484506071655424	
302	0.4732374818603079	
